Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,Status,Max_kW_Rating,Total_kW_Capacity,index_right,SA4_CODE26,SA4_NAME26,CHG_FLAG26,CHG_LBL26,GCC_CODE26,GCC_NAME26,STE_CODE26,STE_NAME26,AUS_CODE26,AUS_NAME26,AREASQKM26,ocm_poi_id,plug_types,num_bays,operator_ocm,pricing_ocm,match_distance_km,name_similarity,address_similarity,match_score,match_confidence
Unknown,"01 Wallgrove Road, Sydney, 2766",BP,4,DC,150 kW,-33.81100405,150.8495966,Blacktown City Council,2766,Existing Fast Chargers,Operational,150.0,150.0,15.0,116,Sydney - Blacktown,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,240.8836,272521.0,CCS (Type 2),2.0,BP Pulse (AU),$0.55/kWh,0.0651,,,,coordinate_distance
Unknown,"1 - 7 Ross St, Wilcannia NSW 2836, Australia",NRMA,4,DC,50 kW,-30.5118739,151.669395,Central Darling Shire Council,2350,TfNSW Regional,Operational,50.0,50.0,9.0,110,New England and North West,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,99139.9014,170824.0,"CCS (Type 2), CHAdeMO",1.0,NRMA,Currently free but will be fee at some point.,0.0292,,,,coordinate_distance
Unknown,"1 Bay St, Sydney, 2037",Tesla,16,DC,130 kW,-33.88350355,151.1944334,"Sydney, Council of the City of",2037,Existing Fast Chargers,Operational,130.0,130.0,16.0,117,Sydney - City and Inner South,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,66.117,311308.0,CCS (Type 2),3.0,Tesla (including non-tesla),0,0.0194,,,,coordinate_distance
Unknown,"1 Bells Blvd, Kingscliff, 2487",Evie,4,DC,75 kW,-28.27690295,153.5770781,Tweed Shire Council,2487,Existing Fast Chargers,Operational,75.0,75.0,11.0,112,Richmond - Tweed,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,10271.3204,,,,,,,,,,no_match
Unknown,"1 Dalgal Way, Sydney, 2037",Tesla,4,DC,250 kW,-33.87650055,151.178,"Sydney, Council of the City of",2037,Existing Fast Chargers,Operational,250.0,250.0,16.0,117,Sydney - City and Inner South,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,66.117,,,,,,,,,,no_match
Unknown,"1 Frederick St, Sydney, 2064",Evie,6,DC,150 kW,-33.81707912,151.1889369,Willoughby City Council,2064,Existing Fast Chargers,Operational,150.0,150.0,20.0,121,Sydney - North Sydney and Hornsby,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,275.0992,272613.0,"CCS (Type 2), CHAdeMO",1.0,Chargefox,$0.30/kWh,0.157,,,,coordinate_distance
Unknown,"1 Greenbridge Dr, Wilton, 2571",Chargefox,2,DC,160 kW,-34.22847652,150.6841562,Wollondilly Shire Council,2571,Existing Fast Chargers,Operational,160.0,160.0,22.0,123,Sydney - Outer South West,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,1277.2421,,,,,,,,,,no_match
Unknown,"1 Ingham Dr, Casula NSW 2170",Evie,4,DC,50 kW,-33.948829,150.90027,Liverpool City Council,2170,ARENA - Driving the Nation,Operational,50.0,50.0,26.0,127,Sydney - South West,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,540.2775,272688.0,"CCS (Type 2), CHAdeMO",2.0,Evie,,0.1255,,,,coordinate_distance
Unknown,"1 Little Walker St, Casino, NSW 2470, Australia",NRMA,4,DC,50 kW,-35.442745,149.7913305,Richmond Valley Council,2622,TfNSW Regional,Operational,50.0,50.0,0.0,101,Capital Region,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,51896.2445,,,,,,,,,,no_match
Unknown,"1 Park St, Sydney, 2103",JOLT,2,DC,25 kW,-33.67613618,151.3039429,Northern Beaches Council,2103,Existing Fast Chargers,Operational,25.0,25.0,21.0,122,Sydney - Northern Beaches,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,254.2073,192929.0,"CHAdeMO, CCS (Type 2)",1.0,Jolt,"First 7kWh free, then $0.46 per kWh thereafter. $5/hr idle time",0.0057,,,,coordinate_distance
Unknown,"1 Perry St, Batemans Bay, 2536",Evie,4,DC,75 kW,-35.70737242,150.1761672,Eurobodalla Shire Council,2536,Existing Fast Chargers,Operational,75.0,75.0,0.0,101,Capital Region,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,51896.2445,157566.0,"CCS (Type 2), CHAdeMO",1.0,NRMA,,0.1384,,,,coordinate_distance
Unknown,"1 Plunkett St, Sydney, 2065",Exploren,2,DC,50 kW,-33.8215586,151.1964124,Willoughby City Council,2065,Existing Fast Chargers,Operational,50.0,50.0,20.0,121,Sydney - North Sydney and Hornsby,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,275.0992,272632.0,"CCS (Type 2), CHAdeMO",2.0,Evie,,0.275,,,,coordinate_distance
Unknown,"1 Wharf St, Tweed Heads, 2485",Tesla,6,DC,250 kW,-28.17378983,153.5445165,Tweed Shire Council,2485,Existing Fast Chargers,Operational,250.0,250.0,11.0,112,Richmond - Tweed,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,10271.3204,,,,,,,,,,no_match
Unknown,"1/9 Railway Parade, Kogarah NSW 2217",Evie,4,DC,150 kW,-33.9624686,151.1324696,Georges River Council,2217,ARENA - Driving the Nation,Operational,150.0,150.0,18.0,119,Sydney - Inner South West,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,163.9273,,,,,,,,,,no_match
Unknown,"10 Brookfield Rd, Minto NSW 2566",Evie,4,DC,75 kW,-34.03094307,150.8490285,Campbelltown City Council,2566,ARENA - Driving the Nation,Operational,75.0,75.0,22.0,123,Sydney - Outer South West,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,1277.2421,,,,,,,,,,no_match
Unknown,"10 Elizabeth St, Bathurst, 2795",Evie,4,DC,150 kW,-33.41417222,149.5833564,Bathurst Regional Council,2795,Existing Fast Chargers,Operational,150.0,150.0,2.0,103,Central West,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,70297.0605,121552.0,CCS (Type 2),6.0,Tesla (including non-tesla),AUD 0.66/kWh;other tariffs for older cars,0.6279,,,,coordinate_distance
Unknown,"10 Winery Dr, Port Macquarie, 2444",Tesla,12,DC,130 kW,-31.43610015,152.8235826,Port Macquarie-Hastings Council,2444,Existing Fast Chargers,Operational,130.0,130.0,7.0,108,Mid North Coast,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,18851.4993,79311.0,CCS (Type 2),6.0,Tesla (Tesla-only charging),AUD 0.52/kWh,0.0001,,,,coordinate_distance
Unknown,"105 Station Rd, Sydney, 2147",Ampol,2,DC,150 kW,-33.77436041,150.9448809,Blacktown City Council,2147,Existing Fast Chargers,Operational,150.0,150.0,15.0,116,Sydney - Blacktown,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,240.8836,,,,,,,,,,no_match
Unknown,"106 Parraween St, Sydney, 2090",Evie,4,DC,75 kW,-33.8273504,151.2303373,North Sydney Council,2090,Existing Fast Chargers,Operational,75.0,75.0,20.0,121,Sydney - North Sydney and Hornsby,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,275.0992,,,,,,,,,,no_match
Unknown,"1067 Oxley Hwy, Thrumster, 2444",Chargefox,4,DC,180 kW,-31.46394199,152.8219499,Port Macquarie-Hastings Council,2444,Existing Fast Chargers,Operational,180.0,180.0,7.0,108,Mid North Coast,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,18851.4993,172921.0,"CCS (Type 2), CHAdeMO",2.0,Chargefox,"$0.60/kWh, 20% discount for NRMA members",0.0299,,,,coordinate_distance
